Shipping to,Expédition à
Cafedu - Theme Settings,Cafedu - Theme Settings
Visible in Home Page,Visible in Home Page
Home Page - Banner Image,Home Page - Banner Image
Category Image 2,Category Image 2
1 Column - Fullwidth,1 Column - Fullwidth
follow café du cycliste,SUIVRE CAFÉ DU CYCLISTE
shops,Boutiques
switcher_storename_jp,Japon (%1)
switcher_storename_us,États-Unis (%1)
switcher_storename_uk,Royaume-Uni (%1)
switcher_storename_germany,Allemagne / Autriche (%1)
switcher_storename_aus,Australie (%1)
switcher_storename_base,France / Belgique (%1)
switcher_storename_ca,Canada (%1)
switcher_storename_roe,Eurozone (%1)
switcher_storename_row,Rest du Monde (%1)
Search_Home,Search
Please enter a valid email address (Ex: johndoe@domain.com)., Merci de renseigner une adresse email valide (ex : johndoe@domain.com).
To Email,À l’email
Card Currency,Devise Carte
Email_GiftCards,Email
Offline_GiftCards,Hors ligne
Your payment could not be taken. Please try again or use a different payment method.,Votre paiement n'a pas pu être prélevé. Veuillez réessayer ou utiliser un autre mode de paiement.
Your payment could not be taken. Please try again or use a different payment method. Processor Declined,Votre paiement n'a pas pu être prélevé. Veuillez réessayer ou utiliser un autre mode de paiement. Paiement rejeté
Message_Gift,Message
"Please, enter valid Credit Card Number","Veuillez entrer un Numéro de Carte de Crédit valide."
"Please, enter valid Expiration Date","Veuillez entrer une date d'expiration valide."
Please select one of the options.,Veuillez sélectionner une des options
"View the full size guide", "Die gesamte Anleitung zeigen"
"Contact our", "Contactez"
"customer service team", "notre service client"
"for further sizing assistance.", "pour plus d'informations concernant les tailles."
